class,name,price,etl_date,tdp,cooling_method,model
電源供應器,華碩 ROG STRIX 850W AURA Edition 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保▼下殺到 3/31 20:00,4990,2024-03-03,850,,
電源供應器,美洲獅 COUGAR GEX 750W 雙8/金牌/全模組/主日系/5年保▼下殺到 3/31 20:00,2590,2024-03-03,750,,
電源供應器,美洲獅 COUGAR GEX 1050W 雙8/金牌/全模組/主日系/7年保 原價$5490！,3990,2024-03-03,1050,,
電源供應器,銀欣 750W 金牌/半模組/主日系/扁平線材/5年保(ET750-HG) 下殺原價$3090,2390,2024-03-03,750,,
電源供應器,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 限量原價$6990,4990,2024-03-03,1100,,
電源供應器,Apexgaming(首利) STR650MW(650W) 白色/雙8/金牌/全模/全日系/10年保 原價$2990！,2390,2024-03-03,650,,
電源供應器,Apexgaming(首利) STR750MW(750W) 白色/雙8/金牌/全模/全日系/10年保 原價$3490！,2590,2024-03-03,750,,
電源供應器,Apexgaming GTR-850M(850W) 雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/10年 原價$3990,2990,2024-03-03,850,,
電源供應器,Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價$4190,3090,2024-03-03,850,,
電源供應器,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990,2024-03-03,750,,
電源供應器,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990,2024-03-03,850,,
電源供應器,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490,2024-03-03,850,,
電源供應器,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490,2024-03-03,1000,,
電源供應器,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990,2024-03-03,1200,,
電源供應器,Apexgaming(首利) SFX-750M(750W) 雙8/白金/全模組/全日系/10年保【SFX規格】,4390,2024-03-03,750,,
電源供應器,Phanteks Revolt SFX 650W 雙8/金牌/全模組/10年保(PH-P650GSF)【SFX規格】,3740,2024-03-03,650,,
電源供應器,Montech 創世紀 CENTURY MINI 750W 雙8/金牌/全模組/全日系/7年保【SFX規格】,3290,2024-03-03,750,,
電源供應器,海韻 FOCUS SGX-550(550W) 金牌/全模組/10年保【SFX規格】,3690,2024-03-03,550,,
