class,name,price,etl_date,model,brand,performance,base_clock,boost_clock
處理器 CPU,Intel Processor 300【2核/4緒】3.9GHz/6M/UHD710/46W,2990,2024-03-03,Intel Processor,Intel,2核/4緒,3.9,3.9
處理器 CPU,Intel i3-14100F【4核/8緒】3.5GHz(↑4.7GHz)/12M/無內顯/58W 【】,3990,2024-03-03,Intel i3-14100F,Intel,4核/8緒,3.5,4.7
處理器 CPU,Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/12M/UHD730/60W 【】,4800,2024-03-03,Intel i3-14100,Intel,4核/8緒,3.5,4.7
處理器 CPU,Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G)/20M/無內顯/65W 【】,6800,2024-03-03,Intel i5-14400F,Intel,10核/16緒,2.5,4.7
處理器 CPU,Intel i5-14400【10核/16緒】2.5GHz(↑4.7G)/20M/UHD730/65W 【】,7650,2024-03-03,Intel i5-14400,Intel,10核/16緒,2.5,4.7
處理器 CPU,Intel i5-14500【14核/20緒】2.6GHz(↑5G)/24M/UHD770/65W 【】,7900,2024-03-03,Intel i5-14500,Intel,14核/20緒,2.6,5.0
處理器 CPU,Intel i5-14600KF【14核/20緒】3.5G(↑5.3G)/24M/無內顯/無風扇【】,9600,2024-03-03,Intel i5-14600KF,Intel,14核/20緒,3.5,5.3
處理器 CPU,Intel i5-14600K【14核/20緒】3.5G(↑5.3G)/24M/UHD770/無風扇【】,10200,2024-03-03,Intel i5-14600K,Intel,14核/20緒,3.5,5.3
處理器 CPU,Intel i7-14700F【20核/28緒】2.1GHz(↑5.4G)/33M/無內顯/65W 【】,12200,2024-03-03,Intel i7-14700F,Intel,20核/28緒,2.1,5.4
處理器 CPU,Intel i7-14700【20核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W 【】,13200,2024-03-03,Intel i7-14700,Intel,20核/28緒,2.1,5.4
處理器 CPU,Intel i7-14700KF【20核/28緒】3.4G(↑5.6G)/33M/無內顯/無風扇【】,13200,2024-03-03,Intel i7-14700KF,Intel,20核/28緒,3.4,5.6
處理器 CPU,Intel i7-14700K【20核/28緒】3.4G(↑5.6G)/33M/UHD770/無風扇【】,14200,2024-03-03,Intel i7-14700K,Intel,20核/28緒,3.4,5.6
處理器 CPU,Intel i9-14900F【24核/32緒】2.0GHz(↑5.8G)/36M/無內顯/65W 【】,17700,2024-03-03,Intel i9-14900F,Intel,24核/32緒,2.0,5.8
處理器 CPU,Intel i9-14900【24核/32緒】2.0GHz(↑5.8G)/36M/UHD770/65W 【】,18900,2024-03-03,Intel i9-14900,Intel,24核/32緒,2.0,5.8
處理器 CPU,Intel i9-14900KF【24核/32緒】3.2G(↑6.0G)/36M/無內顯/無風扇【】,18800,2024-03-03,Intel i9-14900KF,Intel,24核/32緒,3.2,6.0
處理器 CPU,Intel i9-14900K【24核/32緒】3.2G(↑6.0G)/36M/UHD770/無風扇【】,20400,2024-03-03,Intel i9-14900K,Intel,24核/32緒,3.2,6.0
處理器 CPU,Intel i7-13700【16核/24緒】2.1GHz(↑5.2G)/30M/UHD770/65W【】,11900,2024-03-03,Intel i7-13700,Intel,16核/24緒,2.1,5.2
處理器 CPU,Intel i9-13900【24核/32緒】2.0GHz(↑5.6G)/36M/UHD770/65W【】,18600,2024-03-03,Intel i9-13900,Intel,24核/32緒,2.0,5.6
處理器 CPU,Intel i5-12600KF【10核/16緒】3.7G(↑4.9G)/20M/無內顯/無風扇//全球三年保,5490,2024-03-03,Intel i5-12600KF,Intel,10核/16緒,3.7,4.9
處理器 CPU,Intel i5-12600K【10核/16緒】3.7G(↑4.9G)/20M/UHD770/無風扇//全球三年保,6290,2024-03-03,Intel i5-12600K,Intel,10核/16緒,3.7,4.9
處理器 CPU,Intel i9-12900KF【16核/24緒】3.2G(↑5.2G)/30M/無內顯/無風扇//全球三年保,11990,2024-03-03,Intel i9-12900KF,Intel,16核/24緒,3.2,5.2
處理器 CPU,Intel i9-12900K【16核/24緒】3.2G(↑5.2G)/30M/UHD770/無風扇//全球三年保,12990,2024-03-03,Intel i9-12900K,Intel,16核/24緒,3.2,5.2
處理器 CPU,Intel i5-12600KF【10核/16緒】(↑4.9G)/無內顯/代理盒三年全球保,4990,2024-03-03,Intel i5-12600KF,Intel,10核/16緒,4.9,4.9
處理器 CPU,Intel i5-12600K【10核/16緒】(↑4.9G)/UHD770內顯/代理盒三年全球保,5790,2024-03-03,Intel i5-12600K,Intel,10核/16緒,4.9,4.9
處理器 CPU,Intel i7-12700KF【12核/20緒】(↑4.9G)/無內顯/代理盒三年全球保,6990,2024-03-03,Intel i7-12700KF,Intel,12核/20緒,4.9,4.9
處理器 CPU,Intel i7-12700K【12核/20緒】(↑4.9G)/UHD770內顯/代理盒三年全球保,7990,2024-03-03,Intel i7-12700K,Intel,12核/20緒,4.9,4.9
處理器 CPU,Intel i9-12900KF【16核/24緒】(↑5.2G)/無內顯/代理盒三年全球保,10990,2024-03-03,Intel i9-12900KF,Intel,16核/24緒,5.2,5.2
處理器 CPU,Intel i9-12900K【16核/24緒】(↑5.2G)/UHD770內顯/代理盒三年全球保,11990,2024-03-03,Intel i9-12900K,Intel,16核/24緒,5.2,5.2
處理器 CPU,Intel Xeon W5-2455X【12核/24緒】3.20GHz(↑4.6GHz)/30M/200W 【】,35800,2024-03-03,Intel Xeon,Intel,12核/24緒,3.2,4.6
處理器 CPU,Intel Xeon W5-2465X【16核/32緒】3.10GHz(↑4.7GHz)/33.75M/200W【】,47900,2024-03-03,Intel Xeon,Intel,16核/32緒,3.1,4.7
