class,name,price,etl_date,id,model,brand,memory,corefrequency,cudacores,memory_value,memory_unit,corefrequency_value,corefrequency_unit,ddr
顯示卡 VGA,INTEL 原廠卡 ARC A750 8G(2050MHz/27cm/三年保)限量版顯示卡,5490,2024-03-03,Unknown,Unknown,Unknown,8G,2050MHz,CUDA:0,8.0,G,2050.0,MHz,
顯示卡 VGA,INTEL 原廠卡 ARC A750 8G(2050MHz/27cm/三年保)限量版顯示卡-任搭優惠,4990,2024-03-03,Unknown,Unknown,Unknown,8G,2050MHz,CUDA:0,8.0,G,2050.0,MHz,
顯示卡 VGA,ACER 宏�� Predator Arc A750 8G OC(2200MHz/27cm/三年)OC版.Predator散熱系統,5900,2024-03-03,Unknown,Unknown,Unknown,8G,2200MHz,CUDA:0,8.0,G,2200.0,MHz,
顯示卡 VGA,ACER 宏�� Predator Arc A770 16G(2400MHz/27cm/三年)Predator散熱系統,11590,2024-03-03,Unknown,Unknown,Unknown,16G,2400MHz,CUDA:0,16.0,G,2400.0,MHz,
顯示卡 VGA,ACER 宏�� Predator Arc A770 16G(2400MHz/27cm/三年)Predator散熱 搭機組裝支援,9990,2024-03-03,Unknown,Unknown,Unknown,16G,2400MHz,CUDA:0,16.0,G,2400.0,MHz,
顯示卡 VGA,華擎 A770 Phantom Gaming 16G OC(2200MHz/31cm/三風扇/三年)-送ARKY公仔,10990,2024-03-03,Unknown,Unknown,Unknown,16G,2200MHz,CUDA:0,16.0,G,2200.0,MHz,
顯示卡 VGA,微星 N210-MD1G/D3(589MHz/1G DDR3/風扇版/14.5cm/三年保),1250,2024-03-03,Unknown,Unknown,微星,1G,589MHz,CUDA:0,1.0,G,589.0,MHz,3
顯示卡 VGA,華碩 GT710-SL-2GD3-BRK-EVO(954MHz/2G DDR3/17cm/註冊四年保)保固最優,1690,2024-03-03,GT710,GT710,華碩,2G,954MHz,CUDA:0,2.0,G,954.0,MHz,3
顯示卡 VGA,華碩 GT710-SL-2GD5-BRK-EVO(954MHz/2G DDR5/17cm/註冊四年保)保固最優,1790,2024-03-03,GT710,GT710,華碩,2G,954MHz,CUDA:0,2.0,G,954.0,MHz,5
顯示卡 VGA,技嘉 N710D3-2GL(954MHz/2G DDR3/14.4cm/三年保),1790,2024-03-03,Unknown,Unknown,技嘉,2G,954MHz,CUDA:0,2.0,G,954.0,MHz,3
顯示卡 VGA,微星 GT710 1GD3H LP(954MHz/1G DDR3/靜音版/14.6cm/三年保),1450,2024-03-03,GT710,GT710,微星,1G,954MHz,CUDA:0,1.0,G,954.0,MHz,3
顯示卡 VGA,微星 GT710 2GD3H LP(954MHz/2G DDR3/靜音版/14.6cm/三年保),1790,2024-03-03,GT710,GT710,微星,2G,954MHz,CUDA:0,2.0,G,954.0,MHz,3
顯示卡 VGA,INNO3D GT710 1GB DDR3(954MHz/靜音版/14cm/三年保固),1388,2024-03-03,GT710,GT710,Unknown,1GB,954MHz,CUDA:0,1.0,GB,954.0,MHz,3
顯示卡 VGA,INNO3D GT710 2GB DDR3(954MHz/靜音版/14cm/三年保固),1588,2024-03-03,GT710,GT710,Unknown,2GB,954MHz,CUDA:0,2.0,GB,954.0,MHz,3
顯示卡 VGA,ZOTAC GT710-2GD3-L(71302-20L)(954MHz/2G DDR3/靜音版/14.6cm/註四年)三介面,1690,2024-03-03,GT710,GT710,ZOTAC,2G,954MHz,CUDA:0,2.0,G,954.0,MHz,3
顯示卡 VGA,華碩 GT730-SL-2GD5-BRK(902MHz/2G DDR5/16.5cm/靜音版/註四年),2590,2024-03-03,GT730,GT730,華碩,2G,902MHz,CUDA:0,2.0,G,902.0,MHz,5
顯示卡 VGA,華碩 GT730-4H-SL-2GD5(927MHz/2G DDR5/14.8cm/靜音版/註四年) 4輸出 HDMI,2890,2024-03-03,GT730,GT730,華碩,2G,927MHz,CUDA:0,2.0,G,927.0,MHz,5
顯示卡 VGA,技嘉 N730D5-2GL(902MHz/2G DDR5/15cm/風扇版/三年保),2690,2024-03-03,Unknown,Unknown,技嘉,2G,902MHz,CUDA:0,2.0,G,902.0,MHz,5
顯示卡 VGA,微星 N730-2GD3V3(700MHz/2G DDR3 128Bit/14.5cm/三年保)雪精靈系列,2590,2024-03-03,Unknown,Unknown,微星,2G,700MHz,CUDA:0,2.0,G,700.0,MHz,3
顯示卡 VGA,微星 N730K-2GD3/OCV5(1006MHz/2G DDR3/15cm/三年保),2590,2024-03-03,Unknown,Unknown,微星,2G,1006MHz,CUDA:0,2.0,G,1006.0,MHz,3
顯示卡 VGA,INNO3D GT730 2GB SDDR3(902MHz/靜音版/14cm/三年保),1888,2024-03-03,GT730,GT730,Unknown,2GB,902MHz,CUDA:0,2.0,GB,902.0,MHz,3
顯示卡 VGA,ZOTAC GT730 2GB Zone Edition(902MHz/2G DDR3/15cm/無風扇/註四年)三介面,2350,2024-03-03,GT730,GT730,ZOTAC,2GB,902MHz,CUDA:0,2.0,GB,902.0,MHz,3
顯示卡 VGA,華碩 GT1030-SL-2G-BRK(1468MHz/GDDR5/17cm/註四年),2890,2024-03-03,GT1030,GT1030,華碩,2G,1468MHz,CUDA:0,2.0,G,1468.0,MHz,5
顯示卡 VGA,華碩 PH-GT1030-O2G(1506MHz/GDDR5/18.5cm/註四年)單風扇,3090,2024-03-03,GT1030,GT1030,華碩,O2G,1506MHz,CUDA:0,2.0,O,1506.0,MHz,5
顯示卡 VGA,微星 GT1030 2GD4 LP OC(1430MHz/DDR4/15cm/三年保),2850,2024-03-03,GT1030,GT1030,微星,2G,1430MHz,CUDA:0,2.0,G,1430.0,MHz,4
顯示卡 VGA,微星 GT1030 AERO ITX 2GD4 OCV1(1430MHz/DDR4/15cm/三年保) 類比輸出,3290,2024-03-03,GT1030,GT1030,微星,2G,1430MHz,CUDA:0,2.0,G,1430.0,MHz,4
顯示卡 VGA,技嘉 GT1030 Low Profile D4 2G(1417MHz/GDDR4/15cm/單風扇),2890,2024-03-03,GT1030,GT1030,技嘉,2G,1417MHz,CUDA:0,2.0,G,1417.0,MHz,4
顯示卡 VGA,技嘉 GT1030 Low Profile 2G(1468MHz/GDDR5/15cm/風扇版),2990,2024-03-03,GT1030,GT1030,技嘉,2G,1468MHz,CUDA:0,2.0,G,1468.0,MHz,5
顯示卡 VGA,技嘉 GT1030 OC 2G(1544MHz/GDDR5/17cm/單風扇),2990,2024-03-03,GT1030,GT1030,技嘉,2G,1544MHz,CUDA:0,2.0,G,1544.0,MHz,5
