class,name,price,etl_date,brand,capacity,drive_type,read_speed,write_speed,model,id
固態硬碟 M.2｜SSD,UMAX S330 240GB /2.5吋 讀:520MB寫:450MB/3D NAND Flash【三年保】,490,2024-03-03,UMAX S,240GB,SSD,520,450,UMAX S330,UMAX S330
固態硬碟 M.2｜SSD,UMAX S330 480GB /2.5吋 讀:560MB寫:450MB/3D NAND Flash【三年保】,880,2024-03-03,UMAX S,480GB,SSD,560,450,UMAX S330,UMAX S330
固態硬碟 M.2｜SSD,UMAX S330 960GB /2.5吋 讀:560MB寫:500MB/3D NAND Flash【三年保】,1600,2024-03-03,UMAX S,960GB,SSD,560,500,UMAX S330,UMAX S330
固態硬碟 M.2｜SSD,威剛 Ultimate SU650 120G/2.5吋/讀:520M/寫:320M/TLC顆粒【三年保】,350,2024-03-03,威剛 Ultimate SU,,SSD,520,320,Ultimate SU650,Ultimate SU650
固態硬碟 M.2｜SSD,威剛 Ultimate SU650 240G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】,599,2024-03-03,威剛 Ultimate SU,,SSD,520,450,Ultimate SU650,Ultimate SU650
固態硬碟 M.2｜SSD,威剛 Ultimate SU650 480G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】,999,2024-03-03,威剛 Ultimate SU,,SSD,520,450,Ultimate SU650,Ultimate SU650
固態硬碟 M.2｜SSD,WD Blue SA510 250GB(藍標)/2.5吋/讀:550M/寫:525M/3D TLC顆粒【五年保】,1100,2024-03-03,WD Blue SA,250GB,SSD,550,525,Blue SA510,Blue SA510
固態硬碟 M.2｜SSD,WD Blue SA510 500GB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】,1500,2024-03-03,WD Blue SA,500GB,SSD,560,530,Blue SA510,Blue SA510
固態硬碟 M.2｜SSD,WD Blue SA510 1TB(藍標)/2.5吋/讀:560M/寫:530M/3D TLC顆粒【五年保】,2200,2024-03-03,WD Blue SA,1TB,SSD,560,530,Blue SA510,Blue SA510
固態硬碟 M.2｜SSD,金士頓 A400 240G/2.5吋/讀:500M/寫:350M/TLC顆粒【三年保】,699,2024-03-03,金士頓 A,,SSD,500,350,A400,A400
固態硬碟 M.2｜SSD,金士頓 A400 480G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】,940,2024-03-03,金士頓 A,,SSD,500,450,A400,A400
固態硬碟 M.2｜SSD,金士頓 A400 960G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】,1750,2024-03-03,金士頓 A,,SSD,500,450,A400,A400
固態硬碟 M.2｜SSD,金士頓 SKC600 256G/2.5吋/讀:550M/寫:500M/SMI/3D TLC【五年】,799,2024-03-03,金士頓 SKC,,SSD,550,500,SKC600,SKC600
固態硬碟 M.2｜SSD,金士頓 SKC600 512G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】,1570,2024-03-03,金士頓 SKC,,SSD,550,520,SKC600,SKC600
固態硬碟 M.2｜SSD,金士頓 SKC600 1024G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】,2720,2024-03-03,金士頓 SKC,,SSD,550,520,SKC600,SKC600
固態硬碟 M.2｜SSD,金士頓 SKC600 2048G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年】,5100,2024-03-03,金士頓 SKC,,SSD,550,520,SKC600,SKC600
固態硬碟 M.2｜SSD,十銓 T-Force Vulcan Z 火神Z 240G/2.5吋 讀520MB:寫450MB/3D NAND/TLC,699,2024-03-03,十銓 T-Force Vulcan Z 火神Z,,SSD,,,Unknown,Unknown
固態硬碟 M.2｜SSD,十銓 T-Force Vulcan Z 火神Z 480G/2.5吋 讀540MB:寫470MB/3D NAND/TLC,999,2024-03-03,十銓 T-Force Vulcan Z 火神Z,,SSD,,,Unknown,Unknown
固態硬碟 M.2｜SSD,十銓 T-Force Vulcan Z 火神Z 1TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC,1799,2024-03-03,十銓 T-Force Vulcan Z 火神Z,1TB,SSD,,,Unknown,Unknown
固態硬碟 M.2｜SSD,十銓 T-Force Vulcan Z QLC 火神Z 2TB/2.5吋 讀550MB:寫500MB/3D NAND/QLC,3799,2024-03-03,十銓 T-Force Vulcan Z QLC 火神Z,2TB,SSD,,,Unknown,Unknown
固態硬碟 M.2｜SSD,十銓 T-Force Vulcan Z QLC 火神Z 4TB/2.5吋 讀550MB:寫500MB/3D NAND/QLC,5799,2024-03-03,十銓 T-Force Vulcan Z QLC 火神Z,4TB,SSD,,,Unknown,Unknown
固態硬碟 M.2｜SSD,美光Micron Crucial BX500 240G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,630,2024-03-03,美光Micron Crucial BX,,SSD,540,500,Crucial BX500,Crucial BX500
固態硬碟 M.2｜SSD,美光Micron Crucial BX500 500G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,949,2024-03-03,美光Micron Crucial BX,,SSD,540,500,Crucial BX500,Crucial BX500
固態硬碟 M.2｜SSD,美光Micron Crucial BX500 1TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,1900,2024-03-03,美光Micron Crucial BX,1TB,SSD,540,500,Crucial BX500,Crucial BX500
固態硬碟 M.2｜SSD,美光Micron Crucial BX500 2TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,4050,2024-03-03,美光Micron Crucial BX,2TB,SSD,540,500,Crucial BX500,Crucial BX500
