class,name,price,etl_date,brand,tdp,rpm,type,model
散熱器｜散熱墊｜散熱膏,利民 M.2 2280 TYPE A B SSD 固態硬碟散熱片/鋁合金/單雙面皆適用,199,2024-03-17,利民,Unknown,Unknown,Unknown,利民 M.2 2280 TYPE A B SSD 固態硬碟散熱片/鋁合金/單雙面皆適用
散熱器｜散熱墊｜散熱膏,利民 M.2 2280 SSD 固態硬碟散熱片/鋁合金/單雙面皆適用,350,2024-03-17,利民,Unknown,Unknown,Unknown,利民 M.2 2280 SSD 固態硬碟散熱片/鋁合金/單雙面皆適用
散熱器｜散熱墊｜散熱膏,利民 M.2 2280 PRO SSD 固態硬碟散熱片/鋁合金+8 mm純銅導管/單雙面皆適用,400,2024-03-17,利民,Unknown,Unknown,Unknown,利民 M.2 2280 PRO SSD 固態硬碟散熱片/鋁合金+8 mm純銅導管/單雙面皆適用
散熱器｜散熱墊｜散熱膏,利民 HR-09 2280 SSD 固態硬碟散熱器/6 mm熱導管/電鍍鰭片/單雙面皆適用,550,2024-03-17,利民,Unknown,Unknown,Unknown,利民 HR-09 2280 SSD 固態硬碟散熱器/6 mm熱導管/電鍍鰭片/單雙面皆適用
散熱器｜散熱墊｜散熱膏,利民 HR-10 2280 PRO SSD 固態硬碟散熱器/4導管/3CM PWM風扇/單雙面皆適用,690,2024-03-17,利民,Unknown,Unknown,氣冷式,利民 HR-10 2280 PRO SSD 固態硬碟散熱器/4導管/3CM PWM風扇/單雙面皆適用
散熱器｜散熱墊｜散熱膏,快睿 Frostbit M.2 散熱片/2280/雙導管/可調式散熱鰭片,790,2024-03-17,快睿,Unknown,Unknown,Unknown,快睿 Frostbit M.2 散熱片/2280/雙導管/可調式散熱鰭片
散熱器｜散熱墊｜散熱膏,Montech Air Cooler 210 6導管/高度15.3cm/全黑化/A.RGB/TDP:210W【WXHZ】,1090,2024-03-17,Montech,210W,Unknown,Unknown,Montech Air Cooler 210 6導管/高度15.3cm/全黑化/A.RGB/TDP:210W【WXHZ】
散熱器｜散熱墊｜散熱膏,Montech Metal DT24 Base 6導管/高度15.3/雙塔雙扇/TDP:270W【WXHZ】,1590,2024-03-17,Montech,270W,Unknown,Unknown,Montech Metal DT24 Base 6導管/高度15.3/雙塔雙扇/TDP:270W【WXHZ】
散熱器｜散熱墊｜散熱膏,Montech Metal DT24 Premium 6導管/高15.8/雙塔雙扇/全黑化/ARGB鋁質上蓋【WXHZ】,1890,2024-03-17,Montech,Unknown,Unknown,Unknown,Montech Metal DT24 Premium 6導管/高15.8/雙塔雙扇/全黑化/ARGB鋁質上蓋【WXHZ】
散熱器｜散熱墊｜散熱膏,ID-COOLING IS-40X 散熱器 下吹式/4導管/高4.5/全黑化/TDP:100W【WXZ】,790,2024-03-17,ID-COOLING,100W,Unknown,Unknown,ID-COOLING IS-40X 散熱器 下吹式/4導管/高4.5/全黑化/TDP:100W【WXZ】
散熱器｜散熱墊｜散熱膏,ID-COOLING IS-50X 散熱器 下吹式/5導管/高5.5/全黑化/TDP:105W【WXZ】,890,2024-03-17,ID-COOLING,105W,Unknown,Unknown,ID-COOLING IS-50X 散熱器 下吹式/5導管/高5.5/全黑化/TDP:105W【WXZ】
