class,name,price,etl_date,brand,model,hz,cut_name
螢幕｜投影機｜壁掛,【主機搭購】BenQ GW2475H(1A2H/5ms/IPS/無喇叭)不閃屏.低藍光.護眼螢幕▼下殺到 3/18 23:59,2488,2024-03-17,BenQ,GW2475H,,BenQ GW2475H
螢幕｜投影機｜壁掛,【主機搭購】BenQ BL2480(Plus) (1A1H1P/5ms/IPS/含喇叭)三介面文書.光智慧護眼 $2988↘,2888,2024-03-17,BenQ,BL2480,,BenQ BL2480
螢幕｜投影機｜壁掛,【主機搭購】BenQ MOBIUZ EX2710S(2H1P/IPS/165Hz/含喇叭/FreeSync Premium/HDR10)$6288↘,5888,2024-03-17,BenQ,MOBIUZ,165Hz,BenQ MOBIUZ EX2710S
螢幕｜投影機｜壁掛,【主機搭購】BenQ MOBIUZ EX2710R(2H1P/1ms/VA曲面/165Hz/含喇叭/FreeSync Premium Pro)保亮點 $8988↘,6688,2024-03-17,BenQ,MOBIUZ,165Hz,BenQ MOBIUZ EX2710R
螢幕｜投影機｜壁掛,【主機搭購】ACER EK241Y E(1A1H/1ms/IPS/100Hz/無喇叭/FreeSync)抗閃系列 $2588↘,2288,2024-03-17,ACER,EK241Y,100Hz,ACER EK241Y E
螢幕｜投影機｜壁掛,【主機搭購】ACER KA270 H(1A1H/1ms/VA/100Hz/含喇叭FreeSync)抗閃系列.窄邊框 $2999↘,2688,2024-03-17,ACER,KA270,100Hz,ACER KA270 H
螢幕｜投影機｜壁掛,【主機搭購】ACER XV272U RV(2H1P/0.5ms/IPS/144Hz/含喇叭/FreeSync Premium/HDR400) $7488↘,6499,2024-03-17,ACER,XV272U,144Hz,ACER XV272U RV
螢幕｜投影機｜壁掛,【主機搭購】AOPEN 16PM1Q B可攜式顯示器(15.6吋)(1920*1080 IPS)(4ms/USB-C/Mini HDMI)HDR10 $2990↘,2700,2024-03-17,AOPEN,16PM1Q,,AOPEN 16PM1Q B
螢幕｜投影機｜壁掛,【主機搭購】AOPEN 24CV1Y H(1A1H/1ms/VA/100Hz/無喇叭/FreeSync)低藍光.不閃屏 $2188↘,2050,2024-03-17,AOPEN,24CV1Y,100Hz,AOPEN 24CV1Y H
螢幕｜投影機｜壁掛,【主機搭購】AOC 24B2H2(2H/4ms/IPS/100Hz/無喇叭/Adaptive-Sync)抗閃機種 $2380↘,2280,2024-03-17,AOC,24B2H2,100Hz,AOC 24B2H2
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS 221V8A(1A1H/4ms/VA/含喇叭/Adaptive-Sync)低藍光.無閃爍 $2088↘,1988,2024-03-17,PHILIPS,221V8A,,PHILIPS 221V8A
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS 242E1GSJ(1H1P/1ms/VA/144Hz/無喇叭/FreeSync Premium)高CP值 $3088↘,2850,2024-03-17,PHILIPS,242E1GSJ,144Hz,PHILIPS 242E1GSJ
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS Evnia 27M1N3200Z(2H1P/1ms/IPS/165Hz/無喇叭/FreeSync Premium)【活動贈】$3888↘,3680,2024-03-17,PHILIPS,Evnia,165Hz,PHILIPS Evnia 27M1N3200Z
螢幕｜投影機｜壁掛,【主機搭購】PHILIPS Evnia 27M1N5500Z4(2H2P/1ms/IPS/170Hz/無喇叭/FreeSync Premium/HDR400)【活動贈】 $5988↘,5680,2024-03-17,PHILIPS,Evnia,170Hz,PHILIPS Evnia 27M1N5500Z4
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP161 E2 商務隨身螢幕(15.6吋)(1920*1080 IPS)(800:1)(USB-C) $4990↘,3990,2024-03-17,MSI,PRO,,MSI PRO MP161 E2
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP2412(1H1P/1ms/VA/100Hz/無喇叭)抗閃機種.低藍光.防眩光 $2688↘,2488,2024-03-17,MSI,PRO,100Hz,MSI PRO MP2412
螢幕｜投影機｜壁掛,【主機搭購】MSI PRO MP251(1A1H/1ms/IPS/100Hz/含喇叭)抗閃機種.護眼提醒設計 $2988↘,2788,2024-03-17,MSI,PRO,100Hz,MSI PRO MP251
