class,name,price,etl_date,model,size,brand,company,cut_name
主機板 MB,華碩 Tinker Fanless Aluminum Case 樹莓派鋁質機殼 (2/2S 不支援) *尾盤,399,2024-03-03,Unknown,Unknown,華碩,華碩,華碩 Tinker Fanless Aluminum Case
主機板 MB,華碩 PRO WS W680M-ACE SE(M-ATX/1A1H1P/雙Intel 2.5Gb+Realtek 1Gb/註四年),12990,2024-03-03,M-ACE,ATX,華碩,華碩,華碩 PRO WS W680M-ACE SE
主機板 MB,華碩 PRO WS W680-ACE(ATX/1A1H1P/雙Intel 2.5Gb/註四年) 穩定.可靠性高,9990,2024-03-03,Unknown,ATX,華碩,華碩,華碩 PRO WS W680-ACE
主機板 MB,華碩 Pro WS W790E-SAGE SE(EEB/8*DDR5/2*Intel 10G+Realtek 1Gb)14+1+1功率級,39990,2024-03-03,E-SAGE,Unknown,華碩,華碩,華碩 Pro WS W790E-SAGE SE
主機板 MB,華擎 W790 WS(EEB/8*DDR5/2*Marvell 10G+Intel 2.5Gb+無線)20+2相供電,34990,2024-03-03,Unknown,Unknown,Unknown,Unknown,華擎 W790 WS
主機板 MB,華碩 H110M-K【單片盒裝】(M-ATX/1A1D/U3/Realtek 1Gb/全固/註四年),2490,2024-03-03,M-K,ATX,華碩,華碩,華碩 H110M-K
主機板 MB,華碩 PRIME H310M-K(M-ATX/1A1D/Realtek 1Gb/註四年),2490,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H310M-K
主機板 MB,技嘉 H110M-S2PV(M-ATX/1A1D/Realtek 1Gb/註四年),2290,2024-03-03,M-S2PV,ATX,技嘉,技嘉,技嘉 H110M-S2PV
主機板 MB,華碩 PRIME H510M-K(M-ATX/1A1H/Intel 1Gb/註四年),2490,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H510M-K
主機板 MB,微星 B560M PRO-E(M-ATX/1A1H/Intel 1Gb/註四年) 4+2+1相供電-尾盤,2350,2024-03-03,PRO-E,ATX,微星,微星,微星 B560M PRO-E
主機板 MB,華碩 PRIME H610I-PLUS-CSM(DDR5)(Mini-ITX/Intel 1Gb/註四年)5+1+1相供電,3590,2024-03-03,I-PLUS,ITX,華碩,華碩,華碩 PRIME H610I-PLUS-CSM
主機板 MB,華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/Realtek 1Gb/註冊四年/2DIMM),2990,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H610M-K-CSM
主機板 MB,華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/Realtek 1Gb/註冊四年/2DIMM)-[裝機價],2390,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H610M-K-CSM
主機板 MB,華碩 PRIME H610M-E-CSM(DDR5)(M-ATX/Realtek 1Gb/註冊四年/2DIMM),3090,2024-03-03,M-E,ATX,華碩,華碩,華碩 PRIME H610M-E-CSM
主機板 MB,華碩 PRO H610M-C-CSM(DDR5)(M-ATX/Intel 1Gb/註冊四年/2DIMM),3190,2024-03-03,M-C,ATX,華碩,華碩,華碩 PRO H610M-C-CSM
主機板 MB,華碩 PRIME H610M-K D4-CSM(M-ATX/1A1H/Realtek 1Gb/註冊四年/2DIMM)6+1+1相,2890,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H610M-K D4-CSM
主機板 MB,華碩 PRIME H610M-K D4-CSM(M-ATX/1A1H/R 1Gb/2DIMM)6+1+1相-[裝機價]3/31止,2290,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME H610M-K D4-CSM
主機板 MB,華碩 PRIME H610M-E D4-CSM(M-ATX/1H1P/Realtek 1Gb/註冊四年/2DIMM)6+1+1相,2990,2024-03-03,M-E,ATX,華碩,華碩,華碩 PRIME H610M-E D4-CSM
主機板 MB,華碩 PRIME H610M-E D4-CSM(M-ATX/1H1P/R 1Gb/2DIMM)6+1+1相-[裝機價]3/31止,2390,2024-03-03,M-E,ATX,華碩,華碩,華碩 PRIME H610M-E D4-CSM
主機板 MB,華碩 PRIME H610I-PLUS D4-CSM(Mini-ITX/1A1H1P/Realtek 1Gb/2DIMM)5+1+1相,3490,2024-03-03,I-PLUS,ITX,華碩,華碩,華碩 PRIME H610I-PLUS D4-CSM
主機板 MB,技嘉 H610M K DDR4(M-ATX/1H/Realtek 1Gb/註四年/2DIMM)5相供電-[裝機價],1990,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 H610M K DDR4
主機板 MB,技嘉 H610M H DDR4(M-ATX/1A1H/Intel 1Gb/註四年) 6+1+1 相電源*尾盤,2690,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 H610M H DDR4
主機板 MB,技嘉 H610M H V2 DDR4(M-ATX/1A1H/Realtek 1Gb/註四年/2DIMM)6+1+1 相電源,2690,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 H610M H V2 DDR4
主機板 MB,技嘉 H610M S2H DDR4(M-ATX/1A1D1H1P/Intel 1Gb/註四年/2DIMM) 6+1+1 相電源,2790,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 H610M S2H DDR4
主機板 MB,技嘉 H610M S2H V2 DDR4(M-ATX/Intel 1Gb/註四年/2DIMM)6+1+1 相電源,2790,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 H610M S2H V2
主機板 MB,微星 PRO H610M-E DDR4(M-ATX/Realtek 1Gb/註四年/2DIMM)6+1+1 相電源,2290,2024-03-03,M-E,ATX,微星,微星,微星 PRO H610M-E DDR4
主機板 MB,微星 PRO H610M-G WIFI DDR4(M-ATX/Intel 1Gb+無線/註四年/2DIMM)8+1+1 相電源,2890,2024-03-03,M-G,ATX,微星,微星,微星 PRO H610M-G WIFI DDR4
主機板 MB,華擎 H610M-ITX/eDP(Mini-ITX/Intel 1Gb+WiFi ac+BT5.1/三年保)6相電源.支援eDP,4090,2024-03-03,M-ITX,ITX,Unknown,Unknown,華擎 H610M-ITX/eDP
主機板 MB,華擎 H610M-HDV/M.2 R2.0(M-ATX/1A1H1P/Realtek 1Gb/三年保) 7相電源,2290,2024-03-03,M-HDV,ATX,Unknown,Unknown,華擎 H610M-HDV/M.2 R2.0
主機板 MB,華碩 TUF GAMING B660M-PLUS WIFI DDR5(M-ATX/Realtek 2.5G+無線)10+1+1相,3590,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B660M-PLUS WIFI DDR5
主機板 MB,微星 PRO B660M-G DDR4(M-ATX/1A1H1P/Realtek 2.5Gb/註冊四年保)8+1相電源,2990,2024-03-03,M-G,ATX,微星,微星,微星 PRO B660M-G DDR4
主機板 MB,華擎 B660M-HDV DDR4(M-ATX/1A1H1P/Intel 1Gb/註冊四年) 6相電源,2590,2024-03-03,M-HDV,ATX,Unknown,Unknown,華擎 B660M-HDV DDR4
主機板 MB,華擎 B660M PG Riptide DDR4(M-ATX/1H1P/Dragon 2.5Gb/註冊五年)15相電源,3490,2024-03-03,M-ATX,ATX,Unknown,Unknown,華擎 B660M PG Riptide DDR4
主機板 MB,華碩 EX-B760M-V5 D4(M-ATX/Realtek 2.5Gb/註冊四年/2DIMM)8相供電 [促銷價],2890,2024-03-03,EX-B760M,ATX,華碩,華碩,華碩 EX-B760M-V5 D4
主機板 MB,華碩 PRIME B760M-K D4-CSM(M-ATX/Realtek 2.5Gb/註四年/2DIMM)8相-任搭到3/31,3490,2024-03-03,M-K,ATX,華碩,華碩,華碩 PRIME B760M-K D4-CSM
主機板 MB,【狂】華碩 PRIME B760M-K D4-CSM + Intel i3-14100【4核/8緒】至3/31止,7590,2024-03-03,M-K,Unknown,華碩,華碩,華碩 PRIME B760M-K D4-CSM + Intel i3-14100
主機板 MB,【狂】華碩 PRIME B760M-K D4-CSM + Intel i5-14400【10核/16緒】至3/31止,10390,2024-03-03,M-K,Unknown,華碩,華碩,華碩 PRIME B760M-K D4-CSM + Intel i5-14400
主機板 MB,【狂】華碩 PRIME B760M-K D4-CSM + Intel i7-14700【20核/28緒】至3/31止,15990,2024-03-03,M-K,Unknown,華碩,華碩,華碩 PRIME B760M-K D4-CSM + Intel i7-14700
主機板 MB,華碩 PRIME B760M-A D4-CSM(M-ATX/Realtek 2.5Gb/註冊四年)8相供電-優惠到3/31,3490,2024-03-03,M-A,ATX,華碩,華碩,華碩 PRIME B760M-A D4-CSM
主機板 MB,華碩 PRIME B760M-A WIFI D4-CSM(M-ATX/Realtek 2.5Gb+無線/註冊四年)10相,4590,2024-03-03,M-A,ATX,華碩,華碩,華碩 PRIME B760M-A WIFI D4-CSM
主機板 MB,【狂】華碩 PRIME B760M-A WIFI D4-CSM + Intel i3-14100【4核/8緒】至3/31止,8690,2024-03-03,M-A,Unknown,華碩,華碩,華碩 PRIME B760M-A WIFI D4-CSM + Intel i3-14100
主機板 MB,【狂】華碩 PRIME B760M-A WIFI D4-CSM + Intel i7-14700【20核/28緒】至3/31止,17090,2024-03-03,M-A,Unknown,華碩,華碩,華碩 PRIME B760M-A WIFI D4-CSM + Intel i7-14700
主機板 MB,華碩 TUF GAMING B760M-E D4(M-ATX/Realtek2.5Gb/註五年)10+1相電源,3990,2024-03-03,M-E,ATX,華碩,華碩,華碩 TUF GAMING B760M-E D4
主機板 MB,華碩 TUF GAMING B760M-PLUS D4(M-ATX/Realtek2.5Gb/註五年)12+1相*獨家供應,4990,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B760M-PLUS D4
主機板 MB,華碩 TUF GAMING B760M-PLUS WIFI D4(M-ATX/Realtek 2.5Gb+無線/註五年)12+1相,5690,2024-03-03,M-PLUS,ATX,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI D4
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i5-14400【10核/16緒】至3/31止,12590,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i5-14400
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i7-13700【16核/24緒】至3/31止,16890,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i7-13700
主機板 MB,【狂】華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i7-14700【20核/28緒】至3/31止,18190,2024-03-03,M-PLUS,Unknown,華碩,華碩,華碩 TUF GAMING B760M-PLUS WIFI D4 + Intel i7-14700
主機板 MB,華碩 TUF GAMING B760M-BTF WIFI D4 背插(M-ATX/R2.5Gb+無線/註五年)12+1相,5490,2024-03-03,M-BTF,ATX,華碩,華碩,華碩 TUF GAMING B760M-BTF WIFI D4
主機板 MB,華碩 TUF GAMING B760-PLUS WIFI D4(ATX/Realtek 2.5Gb+無線/註五年)12+1相,5490,2024-03-03,Unknown,ATX,華碩,華碩,華碩 TUF GAMING B760-PLUS WIFI D4
主機板 MB,技嘉 B760I AORUS PRO DDR4(Mini ITX/Intel 2.5Gb+無線/註冊五年)8+1+1相供電,5990,2024-03-03,Unknown,ITX,技嘉,技嘉,技嘉 B760I AORUS PRO
主機板 MB,技嘉 B760M H DDR4(M-ATX/Realtek 1Gb/註冊四年保/2DIMM)6+1+1相供電,2890,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M H DDR4
主機板 MB,【狂】技嘉 B760M H DDR4 + Intel i3-14100【4核/8緒】-至3/31止,7390,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M H DDR4 + Intel i3-14100
主機板 MB,【狂】技嘉 B760M H DDR4 + Intel i5-14400【10核/16緒】-至3/31止,10290,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M H DDR4 + Intel i5-14400
主機板 MB,技嘉 B760M GAMING DDR4(M-ATX/Realtek 2.5Gb/註冊五年保/2DIMM)6+2+1相供電,3690,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M GAMING DDR4
主機板 MB,技嘉 B760M DS3H DDR4(M-ATX/2.5Gb LAN/註冊四年保/4DIMM)6+2相供電,3690,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M DS3H DDR4
主機板 MB,技嘉 B760M DS3H AX DDR4(M-ATX/Realtek 2.5Gb+無線/註四年保)6+2+1相供電,4490,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M DS3H AX DDR4
主機板 MB,【狂】技嘉 B760M DS3H AX DDR4 + Intel i3-14100【4核/8緒】-至3/31止,8490,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H AX DDR4 + Intel i3-14100
主機板 MB,【狂】技嘉 B760M DS3H AX DDR4 + Intel i5-14500【6+8核/20緒】活動到3/31止,11690,2024-03-03,Unknown,Unknown,技嘉,技嘉,技嘉 B760M DS3H AX DDR4 + Intel i5-14500
主機板 MB,技嘉 B760M D3H DDR4(M-ATX/Intel 2.5Gb/註冊四年保)6+2+1相供電,4990,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M D3H DDR4
主機板 MB,技嘉 B760M GAMING X DDR4(M-ATX/Realtek 2.5Gb/註五年)8+1+1相供電*獨家款,4790,2024-03-03,M-ATX,ATX,技嘉,技嘉,技嘉 B760M GAMING X DDR4
主機板 MB,技嘉 B760 DS3H DDR4(ATX/Realtek 1Gb/註四年)8+2+1相,4890,2024-03-03,Unknown,ATX,技嘉,技嘉,技嘉 B760 DS3H DDR4
主機板 MB,技嘉 B760 DS3H AX DDR4(ATX/Realtek 1Gb+無線/註四年)8+2+1相,5390,2024-03-03,Unknown,ATX,技嘉,技嘉,技嘉 B760 DS3H AX DDR4
主機板 MB,技嘉 B760 GAMING X DDR4(ATX/Realtek 2.5Gb/註五年保)8+1+1相,5190,2024-03-03,Unknown,ATX,技嘉,技嘉,技嘉 B760 GAMING X DDR4
