class,name,price,etl_date,brand,module_Spec,capacity,capacity_value,capacity_unit
記憶體 RAM,UMAX 單條8GB DDR5-5600/CL46【具XMP、EXPO參數】,749,2024-03-03,UMAX,DDR5,8GB,8,GB
記憶體 RAM,UMAX 單條16GB DDR5-5600/CL46【具XMP、EXPO參數】,1299,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX 單條32GB DDR5-5600/CL46【具XMP、EXPO參數】,2599,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,金士頓 單條16GB DDR5-5600(CL36) FURY Beast (獸獵者)【具XMP、EXPO參數】,1580,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 單條16GB DDR5-5600(CL36) FURY Beast RGB (獸獵者)【具XMP、EXPO參數】,1750,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 單條16GB DDR5-6000(CL36) FURY Beast Black (獸獵者)【具XMP、EXPO參數】,1800,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,美光Micron Crucial 單條16GB DDR5 5600/CL46 (原生顆粒製)【具XMP、EXPO參數】,1399,2024-03-03,美光Micron,DDR5,16GB,16,GB
記憶體 RAM,美光Micron Crucial 單條32GB DDR5 5600/CL46(原生顆粒製)【具XMP、EXPO參數】,2799,2024-03-03,美光Micron,DDR5,32GB,32,GB
記憶體 RAM,UMAX 16GB(雙通8GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】,1599,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX 32GB(雙通16GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】,2699,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,UMAX 64GB(雙通32GB*2) DDR5 5600/CL46 含散熱片【具XMP、EXPO參數】,5299,2024-03-03,UMAX,DDR5,64GB,64,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 黑【具XMP、EXPO參數】,3199,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 白【具XMP、EXPO參數】,3199,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer RGB/CL36 黑【具XMP、EXPO參數】,3399,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer RGB/CL36 白【具XMP、EXPO參數】,3399,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 黑【具XMP、EXPO參數】,3499,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 白【具XMP、EXPO參數】,3499,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 黑【具XMP、EXPO參數】,3699,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 白【具XMP、EXPO參數】,3699,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,威剛 48GB(24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 黑【具XMP、EXPO參數】,4999,2024-03-03,威剛,DDR5,48GB,48,GB
記憶體 RAM,威剛 48GB(24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 白【具XMP、EXPO參數】,4999,2024-03-03,威剛,DDR5,48GB,48,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer/CL36 黑【具XMP、EXPO參數】,5799,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer/CL36 白【具XMP、EXPO參數】,5799,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer/CL30 黑【具XMP、EXPO參數】,6399,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer/CL30 白【具XMP、EXPO參數】,6399,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer RGB/CL36 黑【具XMP、EXPO參數】,6199,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer RGB/CL36 白【具XMP、EXPO參數】,6199,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30 黑【具XMP、EXPO參數】,6799,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer RGB/CL30 白【具XMP、EXPO參數】,6799,2024-03-03,威剛,DDR5,64GB,64,GB
記憶體 RAM,KLEVV(科賦)32GB(雙通道16GB*2) DDR5 6000/CL30 BOLT V【具XMP、EXPO參數】,3299,2024-03-03,KLEVV,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast黑【具XMP、EXPO參數】限量,3230,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast白(獸獵者)【具XMP、EXPO參數】,3230,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast RGB黑【具XMP、EXPO參數】,3550,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-5600/CL36 FURY Beast RGB白【具XMP、EXPO參數】,3550,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-6000/CL36 FURY Beast 黑 (獸獵者)【具雙參數】,3650,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) DDR5-6000/CL36 FURY Beast 白 (獸獵者)【具雙參數】,3650,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 32GB(雙通16GB*2) D5-6000/CL36 FURY Beast BlacK RGB (獸獵者)【具XMP、EXPO參數】,3900,2024-03-03,金士頓,Unknown,32GB,32,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) DDR5-5600/CL36 FURY Beast 黑 (獸獵者)【具雙參數】,5900,2024-03-03,金士頓,DDR5,64GB,64,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) DDR5-5600/CL36 FURY Beast 白 (獸獵者)【具雙參數】,5900,2024-03-03,金士頓,DDR5,64GB,64,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) DDR5-6000/CL36 FURY Beast 黑 (獸獵者)【具雙參數】,6480,2024-03-03,金士頓,DDR5,64GB,64,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) DDR5-6000/CL36 FURY Beast 白 (獸獵者)【具雙參數】,6480,2024-03-03,金士頓,DDR5,64GB,64,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) D5-6000/CL36 FURY Beast RGB黑【具XMP、EXPO參數】,6800,2024-03-03,金士頓,Unknown,64GB,64,GB
記憶體 RAM,金士頓 64GB(雙通32GB*2) D5-6000/CL36 FURY Beast RGB白【具XMP、EXPO參數】,6800,2024-03-03,金士頓,Unknown,64GB,64,GB
記憶體 RAM,十銓 T-Force VULCANα 火神32GB(雙通16GB*2) D5-5600(CL40)黑【具XMP、EXPO參數】,2899,2024-03-03,十銓,Unknown,32GB,32,GB
記憶體 RAM,美光Micron Crucial 32GB(雙通16GB*2) D5 5600/CL46(原生顆粒)【具XMP、EXPO參數】,2799,2024-03-03,美光Micron,Unknown,32GB,32,GB
記憶體 RAM,美光Micron Crucial 64GB(雙通32GB*2) D5 5600/CL46(原生顆粒)【具XMP、EXPO參數】,5599,2024-03-03,美光Micron,Unknown,64GB,64,GB
記憶體 RAM,美光Micron Crucial PRO 超頻 32GB(雙通16GB*2) D5 5600/CL46【具XMP、EXPO參數】,2699,2024-03-03,美光Micron,Unknown,32GB,32,GB
記憶體 RAM,美光Micron Crucial PRO 超頻 64GB(雙通32GB*2) D5 5600/CL46【具XMP、EXPO參數】,5399,2024-03-03,美光Micron,Unknown,64GB,64,GB
記憶體 RAM,美光Micron Crucial PRO 超頻 48GB(雙通24GB*2) D5 6000/CL48【具XMP、EXPO參數】,3999,2024-03-03,美光Micron,Unknown,48GB,48,GB
記憶體 RAM,UMAX 8GB DDR5-4800/CL40,699,2024-03-03,UMAX,DDR5,8GB,8,GB
記憶體 RAM,UMAX 16GB DDR5-4800/CL40,1259,2024-03-03,UMAX,DDR5,16GB,16,GB
記憶體 RAM,UMAX 32GB DDR5-4800/CL40,2399,2024-03-03,UMAX,DDR5,32GB,32,GB
記憶體 RAM,威剛 8GB DDR5-4800/CL40 (AD5U48008G-S),729,2024-03-03,威剛,DDR5,8GB,8,GB
